random forest:

mtry  RMSE          Rsquared 
    5   7.168930e-05  0.6012643
   15   6.732335e-05  0.6474052
   25   6.762425e-05  0.6449673
   35   6.747039e-05  0.6458821
   45   6.761381e-05  0.6446816
   55   6.761874e-05  0.6447865
   65   6.759899e-05  0.6446870
   75   6.754181e-05  0.6453825
   85   6.752225e-05  0.6455032
   95   6.779725e-05  0.6425502
  105   6.761212e-05  0.6447087
  115   6.750846e-05  0.6455819
  125   6.743386e-05  0.6466262
  135   6.769073e-05  0.6436592
  145   6.750313e-05  0.6461917
  155   6.772395e-05  0.6434683
  165   6.755801e-05  0.6454747
  175   6.756857e-05  0.6451171
  185   6.757434e-05  0.6449595
  195   6.758133e-05  0.6450514

boosting:

interaction.depth  n.trees  RMSE          Rsquared 
Tuning parameter 'shrinkage' was held constant at a value of 0.1
Tuning parameter 'n.minobsinnode' was held constant at a value
 of 20
RMSE was used to select the optimal model using  the smallest value.
The final values used for the model were n.trees = 95, interaction.depth = 5, shrinkage = 0.1 and n.minobsinnode = 20

SVM:

cost  gamma  RMSE          Rsquared 
   1    1e-04  0.0001007527  0.2320338
   1    1e-03  0.0001007527  0.2320338
   1    1e-02  0.0001007527  0.2320338
   1    1e-01  0.0001007527  0.2320338
   1    1e+00  0.0001007527  0.2320338
   2    1e-04  0.0001007526  0.2320688
   2    1e-03  0.0001007526  0.2320688
   2    1e-02  0.0001007526  0.2320688
   2    1e-01  0.0001007526  0.2320688
   2    1e+00  0.0001007526  0.2320688
   3    1e-04  0.0001007514  0.2320480
   3    1e-03  0.0001007514  0.2320480
   3    1e-02  0.0001007514  0.2320480
   3    1e-01  0.0001007514  0.2320480
   3    1e+00  0.0001007514  0.2320480
   4    1e-04  0.0001007557  0.2320403
   4    1e-03  0.0001007557  0.2320403
   4    1e-02  0.0001007557  0.2320403
   4    1e-01  0.0001007557  0.2320403
   4    1e+00  0.0001007557  0.2320403
   5    1e-04  0.0001007559  0.2320170
   5    1e-03  0.0001007559  0.2320170
   5    1e-02  0.0001007559  0.2320170
   5    1e-01  0.0001007559  0.2320170
   5    1e+00  0.0001007559  0.2320170
   6    1e-04  0.0001007569  0.2320053
   6    1e-03  0.0001007569  0.2320053
   6    1e-02  0.0001007569  0.2320053
   6    1e-01  0.0001007569  0.2320053
   6    1e+00  0.0001007569  0.2320053
   7    1e-04  0.0001007506  0.2320539
   7    1e-03  0.0001007506  0.2320539
   7    1e-02  0.0001007506  0.2320539
   7    1e-01  0.0001007506  0.2320539
   7    1e+00  0.0001007506  0.2320539
   8    1e-04  0.0001007544  0.2320489
   8    1e-03  0.0001007544  0.2320489
   8    1e-02  0.0001007544  0.2320489
   8    1e-01  0.0001007544  0.2320489
   8    1e+00  0.0001007544  0.2320489
   9    1e-04  0.0001007573  0.2319811
   9    1e-03  0.0001007573  0.2319811
   9    1e-02  0.0001007573  0.2319811
   9    1e-01  0.0001007573  0.2319811
   9    1e+00  0.0001007573  0.2319811
  10    1e-04  0.0001007566  0.2319881
  10    1e-03  0.0001007566  0.2319881
  10    1e-02  0.0001007566  0.2319881
  10    1e-01  0.0001007566  0.2319881
  10    1e+00  0.0001007566  0.2319881

RMSE was used to select the optimal model using  the smallest value.
The final values used for the model were cost = 7 and gamma = 1e-04.
